epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.59547,1.58964,5.24318,1.29852,0.92646,0.42052,0.51638,0.35561,1.13951,3.62652,1.03779,0.09127,0.00027,0.00027
2,4.7618,1.59396,2.02185,1.22757,0.05316,0.86667,0.06216,0.04032,1.20175,12.6482,1.18251,0.08157,0.000569985,0.000569985
3,6.88148,1.48229,1.01804,1.22051,0.93592,1,0.98435,0.63306,1.30891,2.94284,1.17894,0.0718699,0.000869906,0.000869906
4,9.05184,1.46704,1.03195,1.19248,1,0.66667,0.995,0.6355,1.14821,76.1015,1.11094,0.0621697,0.00116971,0.00116971
5,11.2294,1.40778,0.86294,1.2153,0.74573,0.83333,0.87308,0.53682,1.4143,2.62615,1.30109,0.0524694,0.00146936,0.00146936
6,13.3461,1.36473,0.81151,1.16627,0.22561,0.36667,0.24979,0.17147,1.90764,6.67348,1.75793,0.0427688,0.0017688,0.0017688
7,15.4616,1.43769,0.82186,1.2245,0.02362,0.73333,0.09998,0.06292,1.56052,153.298,1.47987,0.033068,0.00206798,0.00206798
8,17.5813,1.40553,0.83655,1.27225,0.07797,0.46667,0.25702,0.12778,1.50423,80.7412,1.46612,0.0233668,0.00236685,0.00236685
9,19.7159,1.50172,0.90808,1.25331,0.54022,0.46667,0.40484,0.18044,1.68887,55.724,1.59122,0.0136654,0.00266536,0.00266536
10,21.8131,1.42538,0.8984,1.21634,0.0749,0.03333,0.00849,0.00255,2.63549,6.158,2.48493,0.00396348,0.00296348,0.00296348
11,23.9078,1.4168,0.75184,1.23223,0.00073,0.06667,0.00049,0.00023,3.29801,6.10769,6.05221,0.00299187,0.00299187,0.00299187
12,26.0168,1.3164,0.79278,1.15237,0.00944,0.46667,0.00808,0.0026,2.55221,29.4942,2.0683,0.00299016,0.00299016,0.00299016
13,28.1203,1.40087,0.78999,1.1881,0.00427,0.13333,0.00396,0.00276,2.10531,82.382,2.03635,0.00298829,0.00298829,0.00298829
14,30.2195,1.36489,0.8335,1.20771,0.13619,0.23333,0.07116,0.04348,1.82466,10.2406,1.84814,0.00298626,0.00298626,0.00298626
15,32.3105,1.31939,0.7456,1.17846,0.86627,0.56667,0.6817,0.47859,1.3025,4.90646,1.3174,0.00298407,0.00298407,0.00298407
16,34.4138,1.30491,0.7231,1.18738,0.76152,0.43333,0.4369,0.33213,1.56126,5.6385,1.82101,0.00298172,0.00298172,0.00298172
17,36.5044,1.2506,0.65467,1.11792,0.96488,0.33333,0.42867,0.27774,1.77685,4.84493,2.20081,0.0029792,0.0029792,0.0029792
18,38.6105,1.412,0.6918,1.19108,0.0947,0.5,0.05728,0.03565,1.70762,8.22897,1.9667,0.00297653,0.00297653,0.00297653
19,40.7071,1.31536,0.69506,1.14062,0.0777,0.4,0.03995,0.02599,1.78934,6.69539,1.93874,0.0029737,0.0029737,0.0029737
