epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.55934,1.6186,4.09128,1.24296,0.00333,1,0.00769,0.00484,1.19954,3.79625,1.03205,0.09604,4e-05,4e-05
2,2.80766,1.37728,3.46967,1.08392,0.00333,1,0.93515,0.4859,1.3339,3.0799,1.02059,0.09109,8.9978e-05,8.9978e-05
3,4.05718,1.38861,1.79065,1.01949,0.00499,0.73333,0.58882,0.20098,1.38613,3.6637,1.14276,0.0861399,0.000139863,0.000139863
4,5.27647,1.30591,1.11999,1.05518,1,0.8,0.9,0.44519,1.23221,3.95753,1.01717,0.0811896,0.000189583,0.000189583
5,6.4678,1.25526,0.94725,1.12091,1,0.23333,0.61665,0.36917,1.27355,4.18253,0.99055,0.0762391,0.000239063,0.000239063
6,7.66412,1.26413,0.82105,1.09866,0,0,0,0,1.25387,5.00126,1.12112,0.0712882,0.000288233,0.000288233
7,8.85875,1.3171,0.77199,1.14612,1,0.03333,0.51666,0.155,1.13717,5.15655,1.05893,0.066337,0.000337019,0.000337019
8,10.0593,1.28937,0.77846,1.14252,0,0,0,0,1.13086,5.37315,1.05799,0.0613854,0.000385351,0.000385351
9,11.2582,1.29547,0.7556,1.12866,0,0,0,0,1.21167,4.79326,1.07795,0.0564332,0.000433157,0.000433157
10,12.4671,1.14332,0.74428,1.09808,1,0.66667,0.8333,0.60889,1.17987,3.82398,1.07324,0.0514804,0.000480369,0.000480369
11,13.6709,1.18107,0.67707,1.09402,1,1,0.995,0.7243,1.14741,3.21497,1.05352,0.0465269,0.000526917,0.000526917
12,14.8853,1.25279,0.6735,1.09245,1,1,0.995,0.72369,1.12368,3.12105,1.02057,0.0415727,0.000572734,0.000572734
13,16.0758,1.28475,0.70516,1.12707,1,1,0.995,0.73806,1.09504,2.79445,1.02568,0.0366178,0.000617753,0.000617753
14,17.2989,1.20847,0.65864,1.10968,1,1,0.995,0.74727,1.11743,2.08311,1.02246,0.0316619,0.000661909,0.000661909
15,18.515,1.24794,0.6515,1.14574,1,1,0.995,0.74258,1.1643,2.19592,1.03706,0.0267051,0.000705138,0.000705138
16,19.7489,1.12081,0.64555,1.05351,0.98448,1,0.995,0.74767,1.12779,1.38899,1.03957,0.0217474,0.000747378,0.000747378
17,20.963,1.24081,0.65876,1.08889,0.97761,1,0.995,0.76471,1.0506,1.4002,1.01018,0.0167886,0.000788568,0.000788568
18,22.1858,1.12838,0.63427,1.05455,0.98993,1,0.995,0.77444,0.99608,1.08137,0.99673,0.0118286,0.00082865,0.00082865
19,23.3961,1.20327,0.6127,1.06993,0.99459,1,0.995,0.71113,1.13171,0.81029,1.04283,0.00686757,0.000867566,0.000867566
20,24.5913,1.21044,0.6377,1.11672,0.99254,1,0.995,0.74227,1.0719,0.92565,1.00772,0.00190526,0.000905261,0.000905261
21,25.7739,1.19068,0.64891,1.09073,0.99588,1,0.995,0.775,0.97306,0.72037,0.97019,0.000905463,0.000905463,0.000905463
22,26.9758,1.17017,0.62591,1.07661,0.99479,1,0.995,0.7116,1.04823,0.68399,1.00067,0.000896127,0.000896127,0.000896127
23,28.169,1.14464,0.61768,1.08014,0.99582,1,0.995,0.75942,0.95317,0.63123,0.9707,0.000886404,0.000886404,0.000886404
24,29.3666,1.14126,0.60109,1.06324,0.99738,1,0.995,0.7048,1.09748,0.5532,1.02932,0.000876305,0.000876305,0.000876305
25,30.5439,1.17864,0.59379,1.08041,0.99656,1,0.995,0.72844,1.02351,0.55694,1.01647,0.000865839,0.000865839,0.000865839
26,31.7409,1.16214,0.59567,1.09781,0.96706,1,0.995,0.75641,0.93754,0.56542,0.97457,0.000855018,0.000855018,0.000855018
27,32.9195,1.15926,0.58558,1.07941,0.99681,1,0.995,0.73347,0.99038,0.53982,0.99155,0.000843851,0.000843851,0.000843851
