epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.39196,1.7956,3.2847,1.48825,0.81783,0.96667,0.94058,0.59195,1.37984,0.8074,1.13371,0.07381,0.00081,0.00081
2,12.0606,1.65703,1.06485,1.40671,0.85923,0.93333,0.92317,0.49101,1.59933,6.70778,1.40939,0.04665,0.00164996,0.00164996
3,17.7006,1.64724,1.03425,1.35795,0.37953,0.93796,0.67667,0.35316,1.3501,16.0422,1.28605,0.0194897,0.00248973,0.00248973
4,23.2943,1.64274,1.03673,1.40764,0.71233,0.4,0.43619,0.19226,1.88047,6.05727,1.5268,0.00299927,0.00299927,0.00299927
5,28.8952,1.57216,0.95244,1.31442,0.95053,0.96667,0.99227,0.56113,1.51207,2.42361,1.27634,0.0029987,0.0029987,0.0029987
6,34.5021,1.54861,0.91546,1.33108,0.56763,0.6,0.64701,0.26654,1.97289,1.38447,1.56506,0.00299796,0.00299796,0.00299796
7,40.1085,1.57992,0.88767,1.35335,0.99364,0.96667,0.99403,0.47745,1.78848,1.43932,1.47832,0.00299707,0.00299707,0.00299707
8,45.7145,1.5539,0.8465,1.32082,0.98288,1,0.995,0.55481,1.53544,0.98924,1.27423,0.00299601,0.00299601,0.00299601
9,51.3207,1.52213,0.80741,1.30215,0.99235,1,0.995,0.58429,1.45304,0.81179,1.23295,0.00299479,0.00299479,0.00299479
10,56.9411,1.4689,0.79477,1.25139,0.99367,1,0.995,0.54228,1.47886,0.71529,1.22351,0.00299341,0.00299341,0.00299341
11,62.2953,1.48767,0.7991,1.28598,0.99642,1,0.995,0.43887,1.91981,0.84471,1.42144,0.00299187,0.00299187,0.00299187
12,67.6627,1.46529,0.75697,1.27578,0.99628,1,0.995,0.51735,1.72213,0.69377,1.29241,0.00299016,0.00299016,0.00299016
13,73.016,1.49038,0.75132,1.27713,0.99532,1,0.995,0.58941,1.44052,0.69092,1.18568,0.00298829,0.00298829,0.00298829
14,78.7168,1.42532,0.73976,1.24871,0.85745,0.9,0.90095,0.38975,1.85067,0.97898,1.42512,0.00298626,0.00298626,0.00298626
15,84.3455,1.43545,0.76333,1.23375,0.88343,0.93333,0.96244,0.53545,1.51387,0.79629,1.24648,0.00298407,0.00298407,0.00298407
16,89.9565,1.40978,0.76671,1.25835,0.99302,0.76667,0.82924,0.44726,1.63226,1.10816,1.32026,0.00298172,0.00298172,0.00298172
17,95.576,1.45994,0.75546,1.30339,0.98954,0.9,0.93861,0.48892,1.73574,0.91725,1.29907,0.0029792,0.0029792,0.0029792
18,101.2,1.44915,0.76398,1.25697,0.89978,0.13333,0.24889,0.11799,2.79656,2.50939,1.865,0.00297653,0.00297653,0.00297653
19,106.821,1.42584,0.73033,1.26042,0.84071,0.8799,0.95293,0.50294,1.60704,0.78719,1.28619,0.0029737,0.0029737,0.0029737
20,112.456,1.36069,0.71054,1.2197,0.99686,1,0.995,0.56315,1.47894,0.64449,1.2026,0.0029707,0.0029707,0.0029707
21,118.061,1.42779,0.72113,1.26524,0.99292,1,0.995,0.58458,1.42314,0.63188,1.24486,0.00296755,0.00296755,0.00296755
22,123.68,1.38208,0.70989,1.21771,0.91935,0.76014,0.87417,0.50223,1.44982,1.1846,1.20576,0.00296424,0.00296424,0.00296424
23,129.299,1.38712,0.68568,1.25247,0.99294,1,0.995,0.62131,1.31045,0.62202,1.15412,0.00296076,0.00296076,0.00296076
24,134.959,1.38733,0.72073,1.24638,0.99354,1,0.995,0.60666,1.3515,0.63465,1.14751,0.00295713,0.00295713,0.00295713
25,140.572,1.43717,0.748,1.28099,0.99691,1,0.995,0.51765,1.80999,0.70289,1.35904,0.00295335,0.00295335,0.00295335
26,146.194,1.45067,0.70182,1.2795,0.99367,1,0.995,0.53199,1.64015,0.73597,1.28076,0.0029494,0.0029494,0.0029494
27,151.812,1.33577,0.66647,1.21201,0.98711,1,0.995,0.51239,1.697,0.734,1.29448,0.0029453,0.0029453,0.0029453
28,157.425,1.36912,0.68175,1.24276,0.98008,1,0.995,0.512,1.83652,0.70869,1.39473,0.00294104,0.00294104,0.00294104
29,163.047,1.44823,0.71076,1.25269,0.99137,1,0.995,0.69751,1.12629,0.55824,1.06751,0.00293662,0.00293662,0.00293662
30,168.703,1.3807,0.70786,1.24113,0.99662,1,0.995,0.54,1.562,0.66895,1.22896,0.00293205,0.00293205,0.00293205
31,174.314,1.39841,0.70043,1.2246,0.92487,0.82093,0.93164,0.51506,1.53632,0.95886,1.20373,0.00292732,0.00292732,0.00292732
