epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.92219,1.84085,5.35342,1.54438,0.38686,0.63333,0.56972,0.39274,1.20937,1.84988,1.10668,0.08739,0.00039,0.00039
2,12.2261,1.56444,1.15031,1.41318,1,0.9314,0.99147,0.56446,1.5197,1.79597,1.43252,0.07381,0.000809978,0.000809978
3,18.2222,1.57891,0.97926,1.43612,0.77629,0.76667,0.78268,0.38471,1.83076,4.99872,2.67693,0.0602299,0.00122987,0.00122987
4,24.1432,1.52725,0.91412,1.39564,0.53309,0.56667,0.55728,0.30835,1.73145,4.41089,1.61661,0.0466496,0.0016496,0.0016496
5,30.1055,1.47431,0.83096,1.40031,0.83108,0.96667,0.98176,0.60796,1.39484,1.85241,1.45085,0.0330691,0.0020691,0.0020691
6,36.3148,1.51643,0.82156,1.39263,0.34836,0.5,0.4436,0.20177,1.86014,4.99823,1.84679,0.0194883,0.00248831,0.00248831
7,42.2108,1.50361,0.93363,1.41106,0.74796,0.9,0.92906,0.56804,1.52606,1.7639,1.55169,0.00590716,0.00290716,0.00290716
8,47.8264,1.51655,0.85679,1.42842,0.65942,0.33333,0.3502,0.17304,2.35632,2.58539,2.12208,0.00299601,0.00299601,0.00299601
9,53.4509,1.43361,0.82157,1.33636,0.04268,0.1,0.01409,0.00611,2.78562,6.25783,2.32516,0.00299479,0.00299479,0.00299479
10,59.0858,1.42656,0.75248,1.34825,0.96669,0.96728,0.99403,0.62021,1.41579,0.85918,1.39799,0.00299341,0.00299341,0.00299341
11,64.775,1.50169,0.78212,1.40583,0.96433,0.93333,0.99125,0.60189,1.38384,1.59465,1.31453,0.00299187,0.00299187,0.00299187
12,70.8663,1.47669,0.80743,1.38898,0.43919,0.83333,0.58587,0.36627,1.37469,2.39411,1.33789,0.00299016,0.00299016,0.00299016
