epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.89375,1.67272,3.56357,1.35328,0.00482,0.9,0.1793,0.07352,1.0889,3.80033,1.11618,0.08739,0.00039,0.00039
2,8.91934,1.56865,1.18761,1.37383,0,0,0,0,1.30418,4.32259,1.18177,0.07381,0.000809978,0.000809978
3,13.0115,1.51891,0.96529,1.34657,1,0.77118,0.995,0.51846,1.6504,2.10112,1.53882,0.0602299,0.00122987,0.00122987
4,17.1251,1.47551,0.97748,1.32772,0.92938,0.96667,0.96729,0.49512,1.70821,0.91669,1.5951,0.0466496,0.0016496,0.0016496
5,21.1377,1.46121,0.87492,1.31991,1,0.99922,0.995,0.60573,1.45162,0.86584,1.2221,0.0330691,0.0020691,0.0020691
6,25.2301,1.53344,0.88257,1.36177,0.93307,1,0.99403,0.5302,1.50434,2.51725,1.33388,0.0194883,0.00248831,0.00248831
7,29.2908,1.43759,0.85832,1.28988,0.99503,1,0.995,0.47588,1.68148,1.44061,1.43741,0.00590716,0.00290716,0.00290716
8,33.3745,1.48993,0.8372,1.35824,0.8036,0.76667,0.85326,0.43825,1.68283,2.22798,1.34857,0.00299601,0.00299601,0.00299601
9,37.4472,1.42338,0.84896,1.28954,0.98706,1,0.995,0.59059,1.52039,2.47267,1.2891,0.00299479,0.00299479,0.00299479
10,41.5212,1.42256,0.79491,1.2817,0.41353,0.65825,0.52733,0.30571,1.60776,3.12229,1.41406,0.00299341,0.00299341,0.00299341
11,45.5546,1.4489,0.83292,1.28485,0.96648,0.96123,0.98794,0.59755,1.34249,0.81631,1.1683,0.00299187,0.00299187,0.00299187
12,49.5747,1.45797,0.81071,1.29675,0.99637,1,0.995,0.706,1.17355,0.64988,1.11826,0.00299016,0.00299016,0.00299016
13,53.6358,1.42553,0.80153,1.28843,1,0.99831,0.995,0.62949,1.37119,0.71415,1.18875,0.00298829,0.00298829,0.00298829
14,57.7018,1.41389,0.74915,1.25916,0.90733,1,0.98792,0.62751,1.33179,0.84458,1.20062,0.00298626,0.00298626,0.00298626
15,61.7984,1.3884,0.76681,1.25085,0.98474,0.96667,0.977,0.64111,1.27922,0.70488,1.1641,0.00298407,0.00298407,0.00298407
16,65.8333,1.39537,0.74761,1.27145,0.98786,1,0.995,0.64725,1.21625,0.74892,1.09807,0.00298172,0.00298172,0.00298172
17,69.909,1.39777,0.75763,1.26627,0.98668,1,0.995,0.62749,1.42743,0.83845,1.18801,0.0029792,0.0029792,0.0029792
18,73.9927,1.45302,0.74222,1.26716,0.99573,1,0.995,0.6246,1.31051,0.73298,1.15117,0.00297653,0.00297653,0.00297653
19,78.0794,1.34394,0.73249,1.23469,0.98739,1,0.995,0.53261,1.44136,0.96771,1.22811,0.0029737,0.0029737,0.0029737
20,82.1571,1.36388,0.70972,1.26074,0.99617,1,0.995,0.56434,1.51981,0.71852,1.2993,0.0029707,0.0029707,0.0029707
21,86.2244,1.34417,0.71232,1.25986,0.85574,0.06667,0.06597,0.01739,4.54138,4.6956,3.34558,0.00296755,0.00296755,0.00296755
22,90.2768,1.3743,0.69393,1.27668,0.85286,0.83333,0.88677,0.33841,2.28923,1.06016,1.67041,0.00296424,0.00296424,0.00296424
23,94.3374,1.42939,0.7229,1.30101,0.96496,0.91837,0.9675,0.45611,1.83856,0.84136,1.47365,0.00296076,0.00296076,0.00296076
24,98.439,1.33975,0.67088,1.24652,0.83558,0.9,0.88549,0.39029,1.99518,1.00557,1.48635,0.00295713,0.00295713,0.00295713
25,102.485,1.32776,0.65864,1.2412,0.99669,1,0.995,0.6314,1.16915,0.61646,1.10917,0.00295335,0.00295335,0.00295335
26,106.545,1.35639,0.66904,1.24873,1,0.91331,0.98505,0.69642,1.03735,0.6861,1.08659,0.0029494,0.0029494,0.0029494
27,110.601,1.38358,0.66177,1.27378,0.99488,1,0.995,0.70099,1.13132,0.56403,1.10999,0.0029453,0.0029453,0.0029453
28,114.698,1.35919,0.69736,1.27106,0.99781,1,0.995,0.48621,1.75864,0.69627,1.35772,0.00294104,0.00294104,0.00294104
29,118.752,1.33871,0.66566,1.22162,0.86966,0.93333,0.92671,0.28168,2.3275,1.11337,1.68078,0.00293662,0.00293662,0.00293662
30,122.792,1.28518,0.63591,1.21702,0.99603,1,0.995,0.66543,1.22232,0.65724,1.13676,0.00293205,0.00293205,0.00293205
31,126.868,1.31113,0.62481,1.25192,0.99686,1,0.995,0.73641,1.04938,0.55639,1.08939,0.00292732,0.00292732,0.00292732
32,130.929,1.31692,0.63851,1.24923,0.95977,1,0.98435,0.66761,1.19565,0.62523,1.16244,0.00292244,0.00292244,0.00292244
33,134.943,1.32178,0.6173,1.25683,0.99604,1,0.995,0.66051,1.22097,0.57941,1.14914,0.0029174,0.0029174,0.0029174
34,138.962,1.35274,0.6473,1.26909,0.99453,1,0.995,0.5964,1.55622,0.66805,1.28182,0.00291221,0.00291221,0.00291221
35,143.033,1.31415,0.64223,1.23772,0.9976,1,0.995,0.58779,1.54802,0.60025,1.22199,0.00290686,0.00290686,0.00290686
36,147.026,1.30406,0.62906,1.21665,0.9954,1,0.995,0.46604,1.75104,0.6531,1.33785,0.00290137,0.00290137,0.00290137
37,151.009,1.28744,0.6152,1.21175,0.99742,1,0.995,0.52811,1.65982,0.62856,1.26363,0.00289572,0.00289572,0.00289572
38,154.978,1.31035,0.6279,1.2266,0.99676,1,0.995,0.66963,1.25785,0.5657,1.1325,0.00288992,0.00288992,0.00288992
39,158.97,1.29091,0.63509,1.22649,0.96591,1,0.995,0.68711,1.17442,0.56867,1.11481,0.00288397,0.00288397,0.00288397
40,162.972,1.31129,0.63215,1.22195,0.99634,1,0.995,0.65951,1.25162,0.56518,1.16243,0.00287787,0.00287787,0.00287787
41,166.997,1.27435,0.62376,1.20917,0.99323,1,0.995,0.63143,1.32127,0.59706,1.18347,0.00287162,0.00287162,0.00287162
42,171.029,1.27781,0.6077,1.23834,0.99687,1,0.995,0.63028,1.21093,0.63282,1.10553,0.00286522,0.00286522,0.00286522
43,175.063,1.33524,0.64213,1.25381,0.39329,0.23333,0.20083,0.06086,3.58363,3.08552,3.08843,0.00285867,0.00285867,0.00285867
44,179.087,1.27859,0.61754,1.2476,0.99745,1,0.995,0.59142,1.44724,0.59356,1.19213,0.00285197,0.00285197,0.00285197
45,183.097,1.2956,0.63517,1.24964,0.99376,1,0.995,0.50588,1.62839,0.66028,1.29351,0.00284513,0.00284513,0.00284513
46,187.124,1.29378,0.62619,1.22461,1,0.9988,0.995,0.67338,1.29238,0.60963,1.17093,0.00283814,0.00283814,0.00283814
47,191.16,1.25648,0.62968,1.2011,0.96235,1,0.99177,0.64796,1.20168,0.64664,1.09683,0.00283101,0.00283101,0.00283101
48,195.245,1.28209,0.6089,1.219,0.96648,0.96118,0.99212,0.68634,1.13792,0.72122,1.10506,0.00282374,0.00282374,0.00282374
49,199.306,1.20056,0.60048,1.18405,0.99549,1,0.995,0.7213,1.11415,0.53472,1.10393,0.00281632,0.00281632,0.00281632
50,203.376,1.24276,0.60721,1.21568,0.3267,0.3,0.3544,0.15529,1.96115,3.74078,1.60154,0.00280875,0.00280875,0.00280875
51,207.428,1.24664,0.58843,1.23214,0.99466,1,0.995,0.68291,1.08356,0.58116,1.09386,0.00280105,0.00280105,0.00280105
