epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.849,1.18942,2.16213,1.30128,0.63546,0.63131,0.72191,0.45779,1.10422,4.63099,1.36041,0.0685648,0.000972222,0.000972222
2,21.4396,1.1701,1.06001,1.32286,0.60308,0.19275,0.25016,0.11899,1.63479,27.2742,2.45749,0.0362314,0.00197217,0.00197217
3,32.1202,1.17827,1.00622,1.3195,0.41795,0.4354,0.14027,0.09767,1.38756,8.49478,1.82953,0.00389783,0.0029719,0.0029719
4,42.6143,1.16268,0.93891,1.29261,0.17192,0.27103,0.08619,0.04848,1.72339,10.7763,2.22484,0.00299927,0.00299927,0.00299927
5,53.1905,1.16986,0.90769,1.30678,0.88939,0.63202,0.81934,0.60619,0.91626,2.12129,1.24219,0.0029987,0.0029987,0.0029987
6,63.4672,1.11336,0.8387,1.2707,0.89661,0.81539,0.94023,0.70691,0.93983,2.24561,1.28993,0.00299796,0.00299796,0.00299796
7,73.7496,1.12482,0.8751,1.28845,0.68356,0.7139,0.77427,0.59565,0.90705,1.07181,1.2667,0.00299707,0.00299707,0.00299707
8,84.0546,1.05093,0.77454,1.20468,0.85571,0.47382,0.5978,0.44562,1.04479,2.65164,1.2849,0.00299601,0.00299601,0.00299601
9,94.2992,1.06554,0.76419,1.24217,0.96025,0.97096,0.99052,0.80483,0.73785,0.56722,1.08074,0.00299479,0.00299479,0.00299479
10,104.586,1.05117,0.76134,1.24095,0.94417,0.98052,0.97674,0.76414,0.88341,0.67421,1.17205,0.00299341,0.00299341,0.00299341
11,114.824,1.04413,0.73549,1.2376,0.92969,0.98309,0.98873,0.77919,0.83504,0.67222,1.12201,0.00299187,0.00299187,0.00299187
12,125.115,1.02715,0.73776,1.21259,0.95764,0.95589,0.98846,0.76057,0.87641,0.64925,1.15521,0.00299016,0.00299016,0.00299016
13,135.387,1.02866,0.7349,1.20886,0.91472,0.96632,0.97766,0.74014,0.90432,0.66499,1.17173,0.00298829,0.00298829,0.00298829
14,145.651,1.04505,0.67201,1.21471,0.95608,0.96672,0.98825,0.74915,0.90514,0.88228,1.19123,0.00298626,0.00298626,0.00298626
15,155.887,1.03877,0.67856,1.20502,0.94828,0.91436,0.98662,0.79048,0.81899,1.08328,1.13187,0.00298407,0.00298407,0.00298407
16,166.126,0.99613,0.68756,1.20147,0.95966,0.99737,0.99396,0.81076,0.75492,0.49888,1.08477,0.00298172,0.00298172,0.00298172
17,176.431,1.01516,0.68218,1.20163,0.96568,0.99875,0.99473,0.77521,0.83313,0.51279,1.1301,0.0029792,0.0029792,0.0029792
18,186.664,1.01145,0.70762,1.2178,0.92879,0.99448,0.99003,0.75854,0.87538,0.52143,1.17373,0.00297653,0.00297653,0.00297653
19,196.91,0.98248,0.65922,1.1823,0.97563,0.96358,0.99171,0.78299,0.86695,0.49549,1.12909,0.0029737,0.0029737,0.0029737
20,207.113,0.98494,0.67026,1.19404,0.96994,1,0.99282,0.79979,0.8247,0.50961,1.14188,0.0029707,0.0029707,0.0029707
21,217.367,0.98392,0.64011,1.16856,0.96164,0.97221,0.98364,0.79077,0.77054,0.51659,1.07223,0.00296755,0.00296755,0.00296755
22,227.581,0.98633,0.64779,1.18097,0.97555,0.98833,0.98615,0.76885,0.8587,0.4946,1.14447,0.00296424,0.00296424,0.00296424
23,237.827,0.99252,0.6523,1.19931,0.93237,0.96239,0.98683,0.7795,0.80271,0.5086,1.10614,0.00296076,0.00296076,0.00296076
24,248.109,0.97904,0.63843,1.1808,0.91395,0.83411,0.79522,0.59215,0.93264,1.16829,1.16269,0.00295713,0.00295713,0.00295713
25,258.362,0.99421,0.64242,1.17868,0.96928,0.99947,0.99307,0.7768,0.85472,0.45757,1.13858,0.00295335,0.00295335,0.00295335
26,268.585,0.96047,0.63771,1.17972,0.9862,0.9959,0.99139,0.79576,0.78223,0.48039,1.06761,0.0029494,0.0029494,0.0029494
27,278.843,0.9651,0.61304,1.18121,0.97758,0.99656,0.99452,0.79104,0.78228,0.41913,1.10309,0.0029453,0.0029453,0.0029453
28,289.064,0.95932,0.6317,1.1707,0.97954,1,0.99257,0.79206,0.84009,0.45662,1.13488,0.00294104,0.00294104,0.00294104
29,299.305,0.95342,0.60801,1.1615,0.96351,0.9959,0.99383,0.80579,0.74738,0.43228,1.07532,0.00293662,0.00293662,0.00293662
30,309.536,0.9691,0.61974,1.16201,0.97138,0.9959,0.99346,0.81362,0.80959,0.50082,1.1057,0.00293205,0.00293205,0.00293205
31,319.811,0.96482,0.64527,1.18249,0.9863,0.94206,0.97865,0.75282,0.88492,0.49154,1.16821,0.00292732,0.00292732,0.00292732
32,330.075,0.94829,0.62417,1.1542,0.97107,0.9959,0.98477,0.73989,0.88157,0.479,1.18397,0.00292244,0.00292244,0.00292244
33,340.341,0.95295,0.6092,1.18304,0.97125,0.96782,0.98634,0.79277,0.82575,0.48467,1.12041,0.0029174,0.0029174,0.0029174
34,350.585,0.95145,0.60269,1.17382,0.96085,0.99908,0.99405,0.80909,0.74467,0.42328,1.07066,0.00291221,0.00291221,0.00291221
35,360.876,0.93885,0.59704,1.15568,0.96352,0.9959,0.98845,0.80573,0.71293,0.45769,1.06287,0.00290686,0.00290686,0.00290686
36,371.137,0.95174,0.59339,1.18832,0.98802,0.99402,0.995,0.79424,0.79997,0.43085,1.1238,0.00290137,0.00290137,0.00290137
37,381.392,0.92742,0.61923,1.14109,0.98504,0.97574,0.99013,0.78369,0.84065,0.48215,1.13091,0.00289572,0.00289572,0.00289572
38,391.622,0.94218,0.63468,1.16281,0.98084,0.9959,0.99337,0.81251,0.7675,0.47304,1.09346,0.00288992,0.00288992,0.00288992
39,401.857,0.90525,0.58369,1.14549,0.97747,0.99551,0.99485,0.81931,0.73592,0.42314,1.06536,0.00288397,0.00288397,0.00288397
40,412.146,0.91412,0.60743,1.14123,0.97044,0.98846,0.99041,0.81784,0.74861,0.48019,1.06461,0.00287787,0.00287787,0.00287787
41,422.389,0.92431,0.58862,1.1475,0.98759,0.98572,0.99147,0.79582,0.78977,0.43925,1.08776,0.00287162,0.00287162,0.00287162
42,432.63,0.93403,0.59911,1.14967,0.97599,0.99717,0.99027,0.81374,0.77141,0.43204,1.08428,0.00286522,0.00286522,0.00286522
43,442.889,0.90666,0.58485,1.12798,0.97662,0.99596,0.99239,0.81964,0.74611,0.41954,1.07289,0.00285867,0.00285867,0.00285867
44,453.219,0.90032,0.57296,1.13612,0.96416,1,0.99115,0.81159,0.75215,0.38736,1.08086,0.00285197,0.00285197,0.00285197
45,463.72,0.92451,0.5696,1.1554,0.98896,0.99971,0.99191,0.82072,0.72797,0.39706,1.05935,0.00284513,0.00284513,0.00284513
46,474.239,0.91952,0.59941,1.1676,0.9867,0.9971,0.99346,0.80223,0.81356,0.43862,1.11921,0.00283814,0.00283814,0.00283814
47,485.515,0.95348,0.60217,1.1754,0.96972,0.9959,0.99214,0.78921,0.86377,0.41457,1.1397,0.00283101,0.00283101,0.00283101
48,496.441,0.91923,0.59051,1.16943,0.97598,0.9959,0.99283,0.78012,0.85535,0.45068,1.13746,0.00282374,0.00282374,0.00282374
49,507.324,0.90033,0.58368,1.13955,0.98268,0.99427,0.99054,0.79366,0.80064,0.40977,1.08387,0.00281632,0.00281632,0.00281632
50,517.95,0.91384,0.58355,1.14456,0.97366,0.91997,0.97857,0.76098,0.86112,0.51539,1.14928,0.00280875,0.00280875,0.00280875
51,529.064,0.89625,0.56122,1.12875,0.99572,0.94206,0.96967,0.78311,0.78971,0.46732,1.08416,0.00280105,0.00280105,0.00280105
52,540.189,0.91771,0.57781,1.13566,0.94375,0.98952,0.98712,0.77554,0.89436,0.45537,1.16454,0.0027932,0.0027932,0.0027932
53,551.328,0.90814,0.57082,1.13625,0.95413,1,0.9886,0.8037,0.77811,0.41079,1.07387,0.00278522,0.00278522,0.00278522
54,561.798,0.91257,0.55986,1.13093,0.96726,0.99603,0.99113,0.79565,0.80563,0.42598,1.11525,0.00277709,0.00277709,0.00277709
55,572.196,0.92085,0.58879,1.15275,0.98663,0.97651,0.99042,0.81899,0.72937,0.43998,1.06747,0.00276883,0.00276883,0.00276883
56,582.396,0.90341,0.57985,1.1323,0.97869,0.9959,0.99466,0.81153,0.76446,0.42407,1.08537,0.00276043,0.00276043,0.00276043
57,592.663,0.89129,0.57799,1.13623,0.98158,0.98262,0.9932,0.80461,0.77416,0.4511,1.09346,0.00275189,0.00275189,0.00275189
58,602.892,0.91034,0.5855,1.129,0.98301,0.99933,0.99191,0.8014,0.79813,0.44145,1.10025,0.00274321,0.00274321,0.00274321
59,613.132,0.90976,0.58044,1.14837,0.98411,0.9959,0.99375,0.80462,0.78414,0.41239,1.09488,0.00273441,0.00273441,0.00273441
60,623.936,0.92435,0.59757,1.15645,0.97563,0.99924,0.995,0.805,0.7692,0.41387,1.08276,0.00272546,0.00272546,0.00272546
61,634.283,0.9127,0.56855,1.14452,0.98178,1,0.9899,0.79099,0.80947,0.42857,1.12794,0.00271639,0.00271639,0.00271639
62,644.558,0.90168,0.54838,1.11663,0.97024,0.97983,0.99117,0.82074,0.73889,0.41959,1.05627,0.00270718,0.00270718,0.00270718
63,654.905,0.88729,0.54978,1.12694,0.97244,0.9934,0.98957,0.8098,0.77034,0.40055,1.08561,0.00269785,0.00269785,0.00269785
64,665.456,0.88251,0.539,1.12775,0.98542,0.98468,0.99456,0.78932,0.80353,0.4265,1.11363,0.00268838,0.00268838,0.00268838
65,675.861,0.89138,0.55457,1.12873,0.90271,0.9959,0.97233,0.77777,0.7921,0.41746,1.0904,0.00267878,0.00267878,0.00267878
66,686.354,0.90227,0.55936,1.11712,0.98046,0.98363,0.99355,0.81416,0.7527,0.38697,1.07538,0.00266906,0.00266906,0.00266906
67,697.076,0.90617,0.5667,1.14183,0.97105,0.94876,0.98522,0.77513,0.85217,0.4262,1.14155,0.00265921,0.00265921,0.00265921
68,707.879,0.88217,0.55733,1.1244,0.97678,0.95472,0.98705,0.77463,0.86844,0.41137,1.14026,0.00264924,0.00264924,0.00264924
69,718.799,0.90623,0.56757,1.14296,0.98023,0.99763,0.9943,0.81703,0.7437,0.39491,1.08989,0.00263914,0.00263914,0.00263914
70,729.368,0.8747,0.54198,1.12159,0.98714,0.99835,0.99324,0.79414,0.82344,0.38366,1.1059,0.00262891,0.00262891,0.00262891
71,740.107,0.88088,0.53325,1.12496,0.96439,1,0.99299,0.81137,0.78343,0.39845,1.09006,0.00261857,0.00261857,0.00261857
72,750.982,0.8896,0.55155,1.14238,0.94175,0.99448,0.99353,0.78236,0.91287,0.46235,1.16499,0.0026081,0.0026081,0.0026081
73,761.549,0.89134,0.55548,1.1349,0.98373,0.96727,0.99152,0.8066,0.78681,0.41336,1.1037,0.00259752,0.00259752,0.00259752
74,771.887,0.86521,0.53637,1.13327,0.99558,0.99988,0.995,0.79905,0.83052,0.3952,1.11991,0.00258681,0.00258681,0.00258681
75,782.495,0.87541,0.5242,1.12283,0.97947,1,0.99349,0.81759,0.75514,0.38144,1.06402,0.00257599,0.00257599,0.00257599
