epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.66346,1.17285,2.22352,1.2176,0.18635,0.52896,0.32867,0.19374,1.1427,3.707,1.2686,0.0685648,0.000972222,0.000972222
2,11.918,1.17909,1.15454,1.28499,0.23693,0.42682,0.2366,0.13486,1.20839,19.0288,1.53887,0.0362314,0.00197217,0.00197217
3,17.2993,1.15753,1.03431,1.26324,0.73846,0.45627,0.53006,0.37965,1.01239,4.48666,1.3265,0.00389783,0.0029719,0.0029719
4,22.7055,1.12865,0.97917,1.26653,0.67673,0.73847,0.84824,0.61297,0.92986,2.26647,1.20965,0.00299927,0.00299927,0.00299927
5,28.1292,1.14767,0.96788,1.26858,0.66025,0.61903,0.73282,0.54407,0.88345,1.7105,1.16256,0.0029987,0.0029987,0.0029987
6,33.9336,1.09733,0.8831,1.23878,0.65531,0.91858,0.80882,0.57078,1.02575,1.3003,1.26303,0.00299796,0.00299796,0.00299796
7,39.5572,1.09311,0.8585,1.2406,0.85056,0.91704,0.95474,0.70618,0.87657,1.17339,1.15371,0.00299707,0.00299707,0.00299707
8,45.2032,1.06132,0.7995,1.19559,0.80895,0.85124,0.96012,0.74797,0.80652,1.03102,1.0747,0.00299601,0.00299601,0.00299601
9,50.7614,1.05738,0.80708,1.2229,0.89979,0.96987,0.95012,0.73742,0.86413,0.75267,1.11634,0.00299479,0.00299479,0.00299479
10,56.2427,1.02668,0.7846,1.20381,0.85318,0.88702,0.9532,0.68833,1.05948,1.42125,1.24936,0.00299341,0.00299341,0.00299341
11,61.5839,1.01264,0.74427,1.19586,0.95005,0.95705,0.99079,0.77654,0.81572,0.63981,1.07462,0.00299187,0.00299187,0.00299187
12,67.1775,1.00702,0.7405,1.18387,0.92318,0.9877,0.98372,0.77786,0.81753,0.62506,1.08272,0.00299016,0.00299016,0.00299016
13,72.6015,1.04839,0.74521,1.20222,0.98958,0.94741,0.98946,0.7622,0.90614,0.59429,1.15036,0.00298829,0.00298829,0.00298829
14,78.0245,1.03145,0.715,1.1943,0.92733,0.94687,0.96986,0.75156,0.81284,0.62499,1.1235,0.00298626,0.00298626,0.00298626
15,82.9028,0.99741,0.69481,1.17108,0.97172,0.99066,0.995,0.79241,0.78154,0.56162,1.08478,0.00298407,0.00298407,0.00298407
16,87.1692,0.99293,0.69671,1.1892,0.92602,0.926,0.9801,0.78227,0.7822,0.76232,1.07685,0.00298172,0.00298172,0.00298172
17,91.4533,1.0016,0.69525,1.1927,0.93664,0.98591,0.98948,0.78001,0.8236,0.55641,1.10385,0.0029792,0.0029792,0.0029792
18,95.732,1.00059,0.74118,1.1872,0.94401,0.92498,0.97285,0.77389,0.80397,0.67799,1.0856,0.00297653,0.00297653,0.00297653
19,100.467,0.97045,0.67857,1.15995,0.98209,0.98159,0.99334,0.81009,0.77115,0.53432,1.06119,0.0029737,0.0029737,0.0029737
20,104.94,0.98281,0.68461,1.18033,0.98255,0.98324,0.99425,0.75458,0.96932,0.58426,1.20342,0.0029707,0.0029707,0.0029707
21,109.237,0.98682,0.66255,1.17252,0.9661,0.99846,0.99434,0.78651,0.79492,0.53854,1.09219,0.00296755,0.00296755,0.00296755
22,113.649,0.97415,0.66345,1.16174,0.97962,0.98604,0.99345,0.78412,0.851,0.54311,1.12304,0.00296424,0.00296424,0.00296424
23,117.87,0.9713,0.66089,1.16985,0.93166,0.99305,0.9874,0.77548,0.85066,0.51742,1.133,0.00296076,0.00296076,0.00296076
24,122.085,0.97197,0.64443,1.16657,0.85341,0.88233,0.90864,0.69687,0.92028,0.93121,1.13054,0.00295713,0.00295713,0.00295713
25,126.313,0.96764,0.64717,1.15846,0.96632,0.99206,0.99136,0.75602,0.89599,0.51527,1.14334,0.00295335,0.00295335,0.00295335
26,130.525,0.96022,0.64536,1.17781,0.95735,0.93468,0.99351,0.81367,0.75892,0.51261,1.06068,0.0029494,0.0029494,0.0029494
27,134.752,0.96251,0.64415,1.18147,0.98663,0.99345,0.99492,0.81388,0.7126,0.44695,1.03126,0.0029453,0.0029453,0.0029453
28,138.977,0.94478,0.64946,1.15056,0.95626,0.93914,0.98739,0.78419,0.77175,0.54008,1.07159,0.00294104,0.00294104,0.00294104
29,143.188,0.93999,0.63947,1.15456,0.96701,0.99775,0.99286,0.77945,0.83602,0.50541,1.0943,0.00293662,0.00293662,0.00293662
30,147.496,0.96316,0.63473,1.14966,0.97381,0.98415,0.99462,0.80953,0.77382,0.46666,1.05992,0.00293205,0.00293205,0.00293205
31,151.713,0.96466,0.65645,1.18128,0.93774,0.91635,0.96374,0.75838,0.84057,0.55911,1.12134,0.00292732,0.00292732,0.00292732
32,155.934,0.94968,0.6563,1.15419,0.9596,0.98485,0.98772,0.74655,0.91541,0.52091,1.17699,0.00292244,0.00292244,0.00292244
33,160.155,0.95543,0.63064,1.17269,0.96695,1,0.9942,0.78589,0.81886,0.45912,1.11296,0.0029174,0.0029174,0.0029174
34,164.359,0.95257,0.61353,1.17458,0.96812,0.99926,0.99306,0.79211,0.81453,0.46431,1.1315,0.00291221,0.00291221,0.00291221
35,168.599,0.95455,0.63826,1.16403,0.96859,0.98728,0.99002,0.77857,0.83163,0.49273,1.1244,0.00290686,0.00290686,0.00290686
36,172.812,0.96545,0.62016,1.20156,0.99194,0.97551,0.9943,0.77981,0.82933,0.46576,1.12917,0.00290137,0.00290137,0.00290137
